order_number,barcode,quantity,description,sku,location
WO-20249,012456682297,3,Stretch wrap 18in,SKU-1004,D-04-10
WO-20249,013270707159,4,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20249,013196704898,1,Clipboard letter,SKU-1024,F-06-06
WO-20249,012900695859,2,Poly mailer 10x13,SKU-1016,D-07-10
WO-20249,013233706021,1,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20249,012715690209,1,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20249,012567685682,2,Bubble mailer #2,SKU-1007,A-07-07
WO-20249,012752691337,12,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20250,012678689074,2,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20250,012493683424,6,Cable ties 8in (100),SKU-1005,E-05-05
WO-20250,012567685682,12,Bubble mailer #2,SKU-1007,A-07-07
WO-20250,012715690209,3,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20250,012604686818,2,Bubble mailer #5,SKU-1008,B-08-02
WO-20250,012789692468,6,Safety glasses clear,SKU-1013,A-04-01
WO-20250,013011699248,6,Dunnage air pillows,SKU-1019,A-01-07
WO-20251,012530684551,6,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20251,013196704898,1,Clipboard letter,SKU-1024,F-06-06
WO-20251,013270707159,12,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20251,012752691337,1,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20251,013418711673,12,Fragile tape 2in,SKU-1030,F-03-12
WO-20251,012493683424,1,Cable ties 8in (100),SKU-1005,E-05-05
WO-20251,013381710543,1,Desiccant pack (50),SKU-1029,E-02-05
WO-20251,012974698114,1,Pallet label sleeve,SKU-1018,F-09-12
WO-20252,012826693595,1,Box cutter,SKU-1014,B-05-08
WO-20253,012419681169,2,Packing tape 48mm,SKU-1003,C-03-03
WO-20253,013159703760,12,Marker black (12),SKU-1023,E-05-11
WO-20253,012493683424,6,Cable ties 8in (100),SKU-1005,E-05-05
WO-20253,012345678905,3,Blue widget 12-pack,SKU-1001,A-01-01
WO-20254,013048700375,6,Hand truck wheel,SKU-1020,B-02-02
WO-20255,012345678905,2,Blue widget 12-pack,SKU-1001,A-01-01
WO-20255,013418711673,12,Fragile tape 2in,SKU-1030,F-03-12
WO-20255,012974698114,2,Pallet label sleeve,SKU-1018,F-09-12
WO-20255,013344709416,1,Strapping buckle (1000),SKU-1028,D-01-10
WO-20255,012826693595,12,Box cutter,SKU-1014,B-05-08
WO-20255,013381710543,4,Desiccant pack (50),SKU-1029,E-02-05
WO-20255,013233706021,1,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20255,012937696980,1,Void fill paper roll,SKU-1017,E-08-05
WO-20256,012937696980,2,Void fill paper roll,SKU-1017,E-08-05
WO-20256,012493683424,2,Cable ties 8in (100),SKU-1005,E-05-05
WO-20257,013307708289,1,Edge protector 2in,SKU-1027,C-09-03
WO-20257,012752691337,3,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20257,012641687946,4,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20257,013270707159,6,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20257,012789692468,2,Safety glasses clear,SKU-1013,A-04-01
WO-20258,012678689074,1,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20258,013122702639,1,Barcode scanner holster,SKU-1022,D-04-04
WO-20258,013307708289,1,Edge protector 2in,SKU-1027,C-09-03
WO-20258,013344709416,4,Strapping buckle (1000),SKU-1028,D-01-10
WO-20259,012789692468,1,Safety glasses clear,SKU-1013,A-04-01
WO-20259,012974698114,1,Pallet label sleeve,SKU-1018,F-09-12
WO-20259,012900695859,6,Poly mailer 10x13,SKU-1016,D-07-10
WO-20259,012382680039,4,Red widget 12-pack,SKU-1002,B-02-08
WO-20259,013085701502,3,Shelf label holder,SKU-1021,C-03-09
WO-20259,012345678905,1,Blue widget 12-pack,SKU-1001,A-01-01
WO-20259,013159703760,12,Marker black (12),SKU-1023,E-05-11
WO-20260,012604686818,2,Bubble mailer #5,SKU-1008,B-08-02
WO-20261,012641687946,1,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20261,012382680039,1,Red widget 12-pack,SKU-1002,B-02-08
WO-20261,012419681169,3,Packing tape 48mm,SKU-1003,C-03-03
WO-20261,013122702639,1,Barcode scanner holster,SKU-1022,D-04-04
WO-20261,013418711673,2,Fragile tape 2in,SKU-1030,F-03-12
WO-20261,012974698114,1,Pallet label sleeve,SKU-1018,F-09-12
WO-20261,013011699248,4,Dunnage air pillows,SKU-1019,A-01-07
WO-20261,013307708289,1,Edge protector 2in,SKU-1027,C-09-03
WO-20262,012530684551,4,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20262,013011699248,12,Dunnage air pillows,SKU-1019,A-01-07
WO-20262,012604686818,3,Bubble mailer #5,SKU-1008,B-08-02
WO-20262,013307708289,4,Edge protector 2in,SKU-1027,C-09-03
WO-20262,013344709416,1,Strapping buckle (1000),SKU-1028,D-01-10
WO-20263,012937696980,3,Void fill paper roll,SKU-1017,E-08-05
WO-20263,013196704898,1,Clipboard letter,SKU-1024,F-06-06
WO-20264,012826693595,1,Box cutter,SKU-1014,B-05-08
WO-20264,012604686818,3,Bubble mailer #5,SKU-1008,B-08-02
WO-20265,013233706021,2,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20265,012715690209,3,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20265,012345678905,12,Blue widget 12-pack,SKU-1001,A-01-01
WO-20265,013085701502,4,Shelf label holder,SKU-1021,C-03-09
WO-20265,012641687946,4,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20265,012863694722,1,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20265,012900695859,4,Poly mailer 10x13,SKU-1016,D-07-10
WO-20266,013233706021,2,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20266,013048700375,2,Hand truck wheel,SKU-1020,B-02-02
WO-20267,012419681169,1,Packing tape 48mm,SKU-1003,C-03-03
WO-20267,012641687946,4,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20268,013196704898,3,Clipboard letter,SKU-1024,F-06-06
WO-20268,012789692468,1,Safety glasses clear,SKU-1013,A-04-01
WO-20268,012715690209,1,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20269,012678689074,6,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20270,013233706021,4,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20270,012641687946,6,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20270,012456682297,12,Stretch wrap 18in,SKU-1004,D-04-10
WO-20270,012493683424,12,Cable ties 8in (100),SKU-1005,E-05-05
WO-20270,012419681169,12,Packing tape 48mm,SKU-1003,C-03-03
WO-20270,012530684551,4,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20271,012345678905,3,Blue widget 12-pack,SKU-1001,A-01-01
WO-20271,012419681169,12,Packing tape 48mm,SKU-1003,C-03-03
WO-20272,013048700375,3,Hand truck wheel,SKU-1020,B-02-02
WO-20272,013270707159,4,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20273,012678689074,4,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20274,013233706021,1,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20274,012419681169,4,Packing tape 48mm,SKU-1003,C-03-03
WO-20274,013196704898,1,Clipboard letter,SKU-1024,F-06-06
WO-20274,012974698114,1,Pallet label sleeve,SKU-1018,F-09-12
WO-20274,012604686818,2,Bubble mailer #5,SKU-1008,B-08-02
WO-20274,013011699248,2,Dunnage air pillows,SKU-1019,A-01-07
WO-20274,012937696980,2,Void fill paper roll,SKU-1017,E-08-05
WO-20275,012493683424,1,Cable ties 8in (100),SKU-1005,E-05-05
WO-20275,012419681169,3,Packing tape 48mm,SKU-1003,C-03-03
WO-20275,012530684551,2,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20275,012826693595,2,Box cutter,SKU-1014,B-05-08
WO-20275,012641687946,6,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20275,013307708289,2,Edge protector 2in,SKU-1027,C-09-03
WO-20275,012678689074,6,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20275,012900695859,1,Poly mailer 10x13,SKU-1016,D-07-10
WO-20276,012678689074,3,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20276,012345678905,4,Blue widget 12-pack,SKU-1001,A-01-01
WO-20276,012789692468,3,Safety glasses clear,SKU-1013,A-04-01
WO-20277,012715690209,3,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20277,012826693595,2,Box cutter,SKU-1014,B-05-08
WO-20277,013307708289,6,Edge protector 2in,SKU-1027,C-09-03
WO-20277,013344709416,3,Strapping buckle (1000),SKU-1028,D-01-10
WO-20277,013085701502,1,Shelf label holder,SKU-1021,C-03-09
WO-20277,013048700375,4,Hand truck wheel,SKU-1020,B-02-02
WO-20277,012493683424,3,Cable ties 8in (100),SKU-1005,E-05-05
WO-20277,012678689074,2,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20278,013011699248,1,Dunnage air pillows,SKU-1019,A-01-07
WO-20278,013270707159,2,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20278,012604686818,12,Bubble mailer #5,SKU-1008,B-08-02
WO-20278,012715690209,1,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20278,012789692468,12,Safety glasses clear,SKU-1013,A-04-01
WO-20278,012641687946,1,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20278,013381710543,6,Desiccant pack (50),SKU-1029,E-02-05
WO-20278,012752691337,2,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20279,013270707159,1,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20279,012678689074,2,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20279,013307708289,2,Edge protector 2in,SKU-1027,C-09-03
WO-20279,013159703760,2,Marker black (12),SKU-1023,E-05-11
WO-20279,012419681169,1,Packing tape 48mm,SKU-1003,C-03-03
WO-20279,012826693595,4,Box cutter,SKU-1014,B-05-08
WO-20279,013122702639,4,Barcode scanner holster,SKU-1022,D-04-04
WO-20279,012900695859,1,Poly mailer 10x13,SKU-1016,D-07-10
WO-20280,013048700375,12,Hand truck wheel,SKU-1020,B-02-02
WO-20280,012900695859,1,Poly mailer 10x13,SKU-1016,D-07-10
WO-20280,013011699248,3,Dunnage air pillows,SKU-1019,A-01-07
WO-20280,012789692468,12,Safety glasses clear,SKU-1013,A-04-01
WO-20280,012974698114,1,Pallet label sleeve,SKU-1018,F-09-12
WO-20280,012937696980,1,Void fill paper roll,SKU-1017,E-08-05
WO-20280,013159703760,2,Marker black (12),SKU-1023,E-05-11
WO-20280,012826693595,3,Box cutter,SKU-1014,B-05-08
WO-20281,013085701502,4,Shelf label holder,SKU-1021,C-03-09
WO-20281,013048700375,3,Hand truck wheel,SKU-1020,B-02-02
WO-20281,012382680039,4,Red widget 12-pack,SKU-1002,B-02-08
WO-20282,012345678905,2,Blue widget 12-pack,SKU-1001,A-01-01
WO-20282,012456682297,2,Stretch wrap 18in,SKU-1004,D-04-10
WO-20283,012863694722,12,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20283,012752691337,1,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20283,012789692468,3,Safety glasses clear,SKU-1013,A-04-01
WO-20283,013233706021,1,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20284,012456682297,2,Stretch wrap 18in,SKU-1004,D-04-10
WO-20284,012678689074,3,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20284,012826693595,6,Box cutter,SKU-1014,B-05-08
WO-20284,012419681169,2,Packing tape 48mm,SKU-1003,C-03-03
WO-20284,013418711673,12,Fragile tape 2in,SKU-1030,F-03-12
WO-20284,013196704898,6,Clipboard letter,SKU-1024,F-06-06
WO-20284,012493683424,3,Cable ties 8in (100),SKU-1005,E-05-05
WO-20284,012752691337,6,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20285,012863694722,6,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20285,013196704898,3,Clipboard letter,SKU-1024,F-06-06
WO-20286,012678689074,1,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20286,012382680039,1,Red widget 12-pack,SKU-1002,B-02-08
WO-20287,013085701502,2,Shelf label holder,SKU-1021,C-03-09
WO-20287,012456682297,12,Stretch wrap 18in,SKU-1004,D-04-10
WO-20287,013122702639,1,Barcode scanner holster,SKU-1022,D-04-04
WO-20287,013270707159,12,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20287,012530684551,1,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20287,013196704898,3,Clipboard letter,SKU-1024,F-06-06
WO-20288,012863694722,4,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20288,012604686818,4,Bubble mailer #5,SKU-1008,B-08-02
WO-20288,013270707159,1,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20288,012789692468,2,Safety glasses clear,SKU-1013,A-04-01
WO-20288,013085701502,6,Shelf label holder,SKU-1021,C-03-09
WO-20288,012530684551,4,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20288,013233706021,4,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20289,013159703760,2,Marker black (12),SKU-1023,E-05-11
WO-20290,012641687946,1,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20290,013233706021,1,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20290,013159703760,12,Marker black (12),SKU-1023,E-05-11
WO-20290,013270707159,1,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20291,012715690209,6,Nitrile gloves M (100),SKU-1011,E-02-11
WO-20291,012567685682,12,Bubble mailer #2,SKU-1007,A-07-07
WO-20291,012863694722,3,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20291,012456682297,4,Stretch wrap 18in,SKU-1004,D-04-10
WO-20291,012641687946,4,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20291,013122702639,1,Barcode scanner holster,SKU-1022,D-04-04
WO-20292,012752691337,2,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20292,013344709416,1,Strapping buckle (1000),SKU-1028,D-01-10
WO-20292,012863694722,1,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20292,013048700375,3,Hand truck wheel,SKU-1020,B-02-02
WO-20292,012530684551,1,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20292,013122702639,2,Barcode scanner holster,SKU-1022,D-04-04
WO-20293,012456682297,12,Stretch wrap 18in,SKU-1004,D-04-10
WO-20293,012530684551,4,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20293,012752691337,4,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20293,013159703760,1,Marker black (12),SKU-1023,E-05-11
WO-20293,012493683424,4,Cable ties 8in (100),SKU-1005,E-05-05
WO-20294,012530684551,12,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20294,012900695859,1,Poly mailer 10x13,SKU-1016,D-07-10
WO-20294,013085701502,6,Shelf label holder,SKU-1021,C-03-09
WO-20294,012974698114,2,Pallet label sleeve,SKU-1018,F-09-12
WO-20294,013159703760,1,Marker black (12),SKU-1023,E-05-11
WO-20294,013344709416,1,Strapping buckle (1000),SKU-1028,D-01-10
WO-20294,013418711673,3,Fragile tape 2in,SKU-1030,F-03-12
WO-20295,013048700375,4,Hand truck wheel,SKU-1020,B-02-02
WO-20295,012382680039,12,Red widget 12-pack,SKU-1002,B-02-08
WO-20295,013344709416,12,Strapping buckle (1000),SKU-1028,D-01-10
WO-20295,012752691337,6,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20295,012345678905,4,Blue widget 12-pack,SKU-1001,A-01-01
WO-20295,012900695859,6,Poly mailer 10x13,SKU-1016,D-07-10
WO-20295,012493683424,4,Cable ties 8in (100),SKU-1005,E-05-05
WO-20295,012567685682,6,Bubble mailer #2,SKU-1007,A-07-07
WO-20296,012530684551,1,Label roll 4x6 (250),SKU-1006,F-06-12
WO-20296,012419681169,2,Packing tape 48mm,SKU-1003,C-03-03
WO-20296,013011699248,2,Dunnage air pillows,SKU-1019,A-01-07
WO-20296,012345678905,12,Blue widget 12-pack,SKU-1001,A-01-01
WO-20296,013270707159,2,Kraft paper roll 30in,SKU-1026,B-08-08
WO-20296,013233706021,1,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20296,012604686818,6,Bubble mailer #5,SKU-1008,B-08-02
WO-20296,012678689074,6,Corrugated box 18x12x6,SKU-1010,D-01-04
WO-20297,013011699248,2,Dunnage air pillows,SKU-1019,A-01-07
WO-20297,012456682297,12,Stretch wrap 18in,SKU-1004,D-04-10
WO-20298,012974698114,6,Pallet label sleeve,SKU-1018,F-09-12
WO-20298,013307708289,12,Edge protector 2in,SKU-1027,C-09-03
WO-20298,013233706021,2,Thermal ribbon 110mm,SKU-1025,A-07-01
WO-20298,012382680039,4,Red widget 12-pack,SKU-1002,B-02-08
WO-20298,013344709416,1,Strapping buckle (1000),SKU-1028,D-01-10
WO-20298,013196704898,2,Clipboard letter,SKU-1024,F-06-06
WO-20299,013344709416,1,Strapping buckle (1000),SKU-1028,D-01-10
WO-20299,012382680039,6,Red widget 12-pack,SKU-1002,B-02-08
WO-20299,012863694722,1,Zip bags 6x9 (500),SKU-1015,C-06-03
WO-20299,012641687946,2,Corrugated box 12x12x12,SKU-1009,C-09-09
WO-20299,012752691337,2,Nitrile gloves L (100),SKU-1012,F-03-06
WO-20300,013344709416,1,Strapping buckle (1000),SKU-1028,D-01-10
WO-20300,013159703760,2,Marker black (12),SKU-1023,E-05-11
WO-20300,013048700375,2,Hand truck wheel,SKU-1020,B-02-02
WO-20300,013085701502,1,Shelf label holder,SKU-1021,C-03-09
WO-20300,012826693595,3,Box cutter,SKU-1014,B-05-08
WO-20300,012530684551,12,Label roll 4x6 (250),SKU-1006,F-06-12
